,ROE－綜合損益,ROE－綜合損益,ROE－綜合損益,ROE－綜合損益
2834 臺企銀,5.82,2.72,15,10.86
2836 高雄銀,3.33,1.87,14.49,7.44
2838 聯邦銀,7.26,4.82,12.12,8.35
2845 遠東銀,4.62,2.77,9.78,7.82
2849 安泰銀,1.69,0.55,4.81,2.09
2850 新產,10.91,5.16,20.22,15.2
2851 中再保,12.52,8.09,11.41,7.16
2852 第一保,7.85,3.37,9.97,6.87
2855 統一證,10.83,5.74,9.39,8.05
2867 三商壽,15.12,11.21,17.56,20.45
2880 華南金,7.96,4.54,15.81,9.94
2881 富邦金,19.36,10.88,37.55,29.42
2882 國泰金,14.29,8.81,29.19,13.9
2883 開發金,15.67,10.02,22.83,11.9
2884 玉山金,7.89,3.62,11.67,8.25
2885 元大金,7.79,4.15,14.41,11.48
2886 兆豐金,7.42,4.47,16.23,11.6
2887 台新金,5.95,2.29,10.31,7.13
2888 新光金,9.38,6.05,14.71,8.29
2889 國票金,3.24,1.35,14.25,7.73
2890 永豐金,7.78,4.58,17.64,12.09
2891 中信金,10.45,5.83,21.64,15.43
2892 第一金,6.95,4.3,14.77,12.21
2897 王道銀行,3.89,3.2,11.18,8.01
2901 欣欣,1.79,0.97,3.37,2.5
2903 遠百,5.55,2.46,10.94,7.46
2904 匯僑,5.42,3,5.43,6.28
2905 三商,13.72,9.96,18.36,20.31
2906 高林,6.72,1.89,6.16,5.38
2908 特力,4.92,3.61,4.65,5.61
2910 統領,4.03,1.87,8.12,5.55
2911 麗嬰房,-20.03,-7.31,-45.58,-27.76
2912 統一超,19.69,9.51,27.33,24.49
2913 農林,-0.76,-0.35,-2.19,-1.21
2915 潤泰全,11.44,7.1,20.11,10.39
2923 鼎固-KY,2.82,3.01,-0.81,-0.49
2929 淘帝-KY,1.6,1.51,-4.22,-1.73
2939 永邑-KY,-8.23,3.01,-9.07,-3.49
2945 三商家購,2.61,1.45,4.4,2.75
3002 歐格,7.55,5.32,1.83,5.28
3003 健和興,5.61,2.65,8.52,7.36
3004 豐達科,9.3,5.23,13.93,10.45
3005 神基,14.61,8.9,17.24,16.56
3006 晶豪科,1.96,-0.52,-11.23,-5.57
3008 大立光,8,4.75,12.52,9.41
3010 華立,10.94,7.24,17.49,14.8
3011 今皓,9.32,-0.15,-14.93,-2.52
3013 晟銘電,8.41,2.87,7.39,6.02
3014 聯陽,12.35,5.55,33.88,28.18
3015 全漢,14.27,3.52,11.9,8.5
3016 嘉晶,3.86,0.83,3.35,2.34
3017 奇鋐,17.65,8.22,25.17,20.58
3018 隆銘綠能,65.16,-70.78,-78.49,-94.67
3019 亞光,10.5,5.72,6.59,9.2
3021 鴻名,7.16,4.36,7.69,7.8
3022 威強電,7.98,5.24,15.01,14.08
3023 信邦,15.3,7.8,21.49,19.45
3024 憶聲,3.28,1.84,1.5,3.04
3025 星通,8.96,4.14,24.05,13.62
3026 禾伸堂,4.42,2.38,6.51,6.84
3027 盛達,2.26,2.66,6.31,7.66
3028 增你強,8.52,4.36,9.8,11.6
3029 零壹,12,5.81,17.61,14.05
3030 德律,13.04,6.39,13.58,10.21
3031 佰鴻,4.68,2.57,7.3,8.69
3032 偉訓,13.48,6.5,16.59,15.11
3033 威健,9.57,4.68,8.57,9.28
3034 聯詠,16.61,7.01,36.39,29.24
3035 智原,5.82,2.83,22.78,17.18
3036 文曄,11.26,8.39,23.47,18.58
3037 欣興,6.71,4.4,12.46,10.86
3038 全台,10.71,5.95,21.7,19.89
3040 遠見,5.5,-1.28,11.21,8.66
3041 揚智,-11.71,-8.37,-69.83,-22.37
3042 晶技,12.26,6.91,12.81,11.76
3043 科風,35.89,42.68,-0.54,8.21
3044 健鼎,12.93,7.17,12.36,11.55
3045 台灣大,8.07,3.76,17.19,13.74
3046 建碁,10.37,5.26,18.46,14.57
3047 訊舟,4.36,-4.5,-6.46,-1.79
3048 益登,7.33,6.29,-0.2,5
3049 精金,-5.94,-3.18,-9.26,-5.74
3050 鈺德,2.72,2.45,3.26,4.01
3051 力特,6.43,3.98,8.68,5.85
3052 夆典,3.45,2.02,6.23,4.88
3054 立萬利,0.41,-3.56,2.34,0.58
3055 蔚華科,-4.65,-4.37,-0.74,-0.83
3056 富華新,-1.01,-0.7,4.24,4.89
3057 喬鼎,-3.92,0.22,-17.22,-6.07
3058 立德,-4.33,-1.07,5.86,5.93
3059 華晶科,6.56,4.51,3.26,5.61
3060 銘異,4.41,2.12,-11.4,-6.7
3062 建漢,1.6,0.52,-6.48,-4.25
3090 日電貿,9.99,6.29,12.07,10.87
3092 鴻碩,-0.44,0.89,-9.23,-2.78
3094 聯傑,1.1,0.61,4.87,4.79
3130 一零四,15.48,5.34,27.2,23.09
3138 耀登,5.4,2.99,11.98,11.82
3149 正達,-2.65,-0.28,-8.38,-4.05
3164 景岳,4.43,3.18,0.65,1.98
3167 大量,2.51,0.66,-1.1,-0.49
3168 眾福科,6.7,2.99,13.15,11.47
3189 景碩,2.5,1.37,2.75,1.15
3209 全科,10.35,4.79,12.59,12.52
3229 晟鈦,3.09,0.44,-4.03,-2.3
3231 緯創,14.67,8.39,15.36,15.72
